id,symbol,indicator,signal,date
478,GOOGL,macd,Sell,2016-04-24
479,GOOGL,bollinger,Buy,2016-04-24
480,GOOGL,ma-cross,Buy,2016-04-24
481,GOOGL,dmi,Sell,2016-04-24
482,GOOGL,mfi,Hold,2016-04-24
483,GOOGL,trendline,Sell,2016-04-24
484,GOOGL,rsi,Hold,2016-05-01
485,GOOGL,macd,Sell,2016-05-01
486,GOOGL,bollinger,Buy,2016-05-01
487,GOOGL,ma-cross,Buy,2016-05-01
488,GOOGL,dmi,Sell,2016-05-01
489,GOOGL,mfi,Hold,2016-05-01
490,GOOGL,trendline,Sell,2016-05-01
491,GOOGL,rsi,Hold,2016-05-08
492,GOOGL,macd,Sell,2016-05-08
493,GOOGL,bollinger,Hold,2016-05-08
494,GOOGL,ma-cross,Buy,2016-05-08
495,GOOGL,dmi,Sell,2016-05-08
496,GOOGL,mfi,Hold,2016-05-08
497,GOOGL,trendline,Sell,2016-05-08
498,GOOGL,rsi,Hold,2016-05-15
499,GOOGL,macd,Buy,2016-05-15
500,GOOGL,bollinger,Hold,2016-05-15
501,GOOGL,ma-cross,Buy,2016-05-15
502,GOOGL,dmi,Sell,2016-05-15
503,GOOGL,mfi,Hold,2016-05-15
504,GOOGL,trendline,Sell,2016-05-15
505,GOOGL,rsi,Hold,2016-05-22
506,GOOGL,macd,Buy,2016-05-22
507,GOOGL,bollinger,Hold,2016-05-22
508,GOOGL,ma-cross,Buy,2016-05-22
509,GOOGL,dmi,Sell,2016-05-22
510,GOOGL,mfi,Hold,2016-05-22
511,GOOGL,trendline,Sell,2016-05-22
512,GOOGL,rsi,Hold,2016-05-29
513,GOOGL,macd,Buy,2016-05-29
514,GOOGL,bollinger,Sell,2016-05-29
515,GOOGL,ma-cross,Buy,2016-05-29
516,GOOGL,dmi,Buy,2016-05-29
517,GOOGL,mfi,Hold,2016-05-29
518,GOOGL,trendline,Buy,2016-05-29
519,GOOGL,rsi,Hold,2016-06-05
520,GOOGL,macd,Buy,2016-06-05
521,GOOGL,bollinger,Hold,2016-06-05
522,GOOGL,ma-cross,Buy,2016-06-05
523,GOOGL,dmi,Buy,2016-06-05
524,GOOGL,mfi,Hold,2016-06-05
525,GOOGL,trendline,Buy,2016-06-05
526,GOOGL,rsi,Hold,2016-06-12
527,GOOGL,macd,Buy,2016-06-12
528,GOOGL,bollinger,Hold,2016-06-12
529,GOOGL,ma-cross,Buy,2016-06-12
530,GOOGL,dmi,Sell,2016-06-12
531,GOOGL,mfi,Hold,2016-06-12
532,GOOGL,trendline,Sell,2016-06-12
533,GOOGL,rsi,Hold,2016-06-19
534,GOOGL,macd,Sell,2016-06-19
535,GOOGL,bollinger,Buy,2016-06-19
536,GOOGL,ma-cross,Buy,2016-06-19
537,GOOGL,dmi,Sell,2016-06-19
538,GOOGL,mfi,Hold,2016-06-19
539,GOOGL,trendline,Sell,2016-06-19
540,GOOGL,rsi,Buy,2016-06-26
541,GOOGL,macd,Sell,2016-06-26
542,GOOGL,bollinger,Buy,2016-06-26
543,GOOGL,ma-cross,Sell,2016-06-26
544,GOOGL,dmi,Sell,2016-06-26
545,GOOGL,mfi,Hold,2016-06-26
546,GOOGL,trendline,Sell,2016-06-26
547,GOOGL,rsi,Hold,2016-07-03
548,GOOGL,macd,Sell,2016-07-03
549,GOOGL,bollinger,Hold,2016-07-03
550,GOOGL,ma-cross,Sell,2016-07-03
551,GOOGL,dmi,Sell,2016-07-03
552,GOOGL,mfi,Hold,2016-07-03
553,GOOGL,trendline,Sell,2016-07-03
554,GOOGL,rsi,Hold,2016-07-10
555,GOOGL,macd,Buy,2016-07-10
556,GOOGL,bollinger,Hold,2016-07-10
557,GOOGL,ma-cross,Sell,2016-07-10
558,GOOGL,dmi,Sell,2016-07-10
559,GOOGL,mfi,Hold,2016-07-10
560,GOOGL,trendline,Buy,2016-07-10
561,GOOGL,rsi,Hold,2016-07-17
562,GOOGL,macd,Buy,2016-07-17
563,GOOGL,bollinger,Hold,2016-07-17
564,GOOGL,ma-cross,Sell,2016-07-17
565,GOOGL,dmi,Buy,2016-07-17
566,GOOGL,mfi,Hold,2016-07-17
567,GOOGL,trendline,Buy,2016-07-17
568,GOOGL,rsi,Hold,2016-07-24
569,GOOGL,macd,Buy,2016-07-24
570,GOOGL,bollinger,Hold,2016-07-24
571,GOOGL,ma-cross,Sell,2016-07-24
572,GOOGL,dmi,Buy,2016-07-24
573,GOOGL,mfi,Hold,2016-07-24
574,GOOGL,trendline,Buy,2016-07-24
575,GOOGL,rsi,Sell,2016-07-31
576,GOOGL,macd,Buy,2016-07-31
577,GOOGL,bollinger,Sell,2016-07-31
578,GOOGL,ma-cross,Buy,2016-07-31
579,GOOGL,dmi,Buy,2016-07-31
580,GOOGL,mfi,Sell,2016-07-31
581,GOOGL,trendline,Buy,2016-07-31
582,GOOGL,rsi,Sell,2016-08-07
583,GOOGL,macd,Buy,2016-08-07
584,GOOGL,bollinger,Hold,2016-08-07
585,GOOGL,ma-cross,Buy,2016-08-07
586,GOOGL,dmi,Buy,2016-08-07
587,GOOGL,mfi,Sell,2016-08-07
588,GOOGL,trendline,Buy,2016-08-07
589,GOOGL,rsi,Sell,2016-08-14
590,GOOGL,macd,Buy,2016-08-14
591,GOOGL,bollinger,Hold,2016-08-14
592,GOOGL,ma-cross,Buy,2016-08-14
593,GOOGL,dmi,Buy,2016-08-14
594,GOOGL,mfi,Sell,2016-08-14
595,GOOGL,trendline,Buy,2016-08-14
596,GOOGL,rsi,Hold,2016-08-21
597,GOOGL,macd,Sell,2016-08-21
598,GOOGL,bollinger,Hold,2016-08-21
